1	1	1	30
2	1	1	5
3	1	1	37
4	1	1	94
5	1	1	130
6	1	1	165
7	1	1	176
8	1	1	199
9	1	1	208
10	1	1	223
11	1	1	221
12	1	1	219
13	1	1	211
14	1	1	197
15	1	1	173
16	1	1	195
17	1	1	167
18	1	1	150
19	1	1	0
20	1	1	55
21	1	1	108
22	1	1	156
23	1	1	119
24	1	1	89
25	1	1	29
26	1	1	16
27	1	1	33
28	1	1	161
29	1	1	101
30	1	1	32
31	1	1	31
32	1	1	17
33	1	1	61
34	1	1	87
35	1	1	113
36	1	1	58
37	1	1	67
38	1	1	94
39	1	1	79
40	1	1	85
41	1	1	70
42	1	1	65
43	1	1	32
44	1	1	0
45	1	1	40
46	1	1	93
47	1	1	104
48	1	1	7
49	1	1	2
50	1	1	11
51	1	1	16
52	1	1	37
53	1	1	61
54	1	1	174
55	1	1	198
56	1	1	217
57	1	1	158
58	1	1	160
59	1	1	108
60	1	1	28
61	1	1	19
62	1	1	71
63	1	1	98
64	1	1	130
1	2	1	45
2	2	1	7
3	2	1	42
4	2	1	97
5	2	1	129
6	2	1	161
7	2	1	195
8	2	1	214
9	2	1	228
10	2	1	243
11	2	1	242
12	2	1	240
13	2	1	232
14	2	1	217
15	2	1	195
16	2	1	206
17	2	1	173
18	2	1	158
19	2	1	29
20	2	1	1
21	2	1	38
22	2	1	172
23	2	1	128
24	2	1	101
25	2	1	55
26	2	1	24
27	2	1	2
28	2	1	111
29	2	1	119
30	2	1	27
31	2	1	12
32	2	1	13
33	2	1	43
34	2	1	66
35	2	1	80
36	2	1	94
37	2	1	114
38	2	1	139
39	2	1	142
40	2	1	134
41	2	1	118
42	2	1	78
43	2	1	46
44	2	1	0
45	2	1	21
46	2	1	48
47	2	1	84
48	2	1	199
49	2	1	15
50	2	1	45
51	2	1	119
52	2	1	79
53	2	1	96
54	2	1	172
55	2	1	191
56	2	1	208
57	2	1	205
58	2	1	175
59	2	1	126
60	2	1	56
61	2	1	5
62	2	1	45
63	2	1	23
64	2	1	104
1	3	1	64
2	3	1	19
3	3	1	46
4	3	1	97
5	3	1	113
6	3	1	144
7	3	1	190
8	3	1	211
9	3	1	227
10	3	1	247
11	3	1	246
12	3	1	245
13	3	1	237
14	3	1	223
15	3	1	206
16	3	1	199
17	3	1	172
18	3	1	162
19	3	1	81
20	3	1	20
21	3	1	12
22	3	1	167
23	3	1	120
24	3	1	101
25	3	1	69
26	3	1	36
27	3	1	7
28	3	1	141
29	3	1	83
30	3	1	18
31	3	1	3
32	3	1	9
33	3	1	36
34	3	1	44
35	3	1	33
36	3	1	126
37	3	1	154
38	3	1	155
39	3	1	175
40	3	1	161
41	3	1	155
42	3	1	119
43	3	1	59
44	3	1	2
45	3	1	0
46	3	1	8
47	3	1	36
48	3	1	183
49	3	1	52
50	3	1	84
51	3	1	113
52	3	1	114
53	3	1	118
54	3	1	170
55	3	1	189
56	3	1	198
57	3	1	212
58	3	1	186
59	3	1	144
60	3	1	80
61	3	1	13
62	3	1	20
63	3	1	40
64	3	1	54
1	4	1	68
2	4	1	14
3	4	1	28
4	4	1	57
5	4	1	102
6	4	1	146
7	4	1	199
8	4	1	204
9	4	1	215
10	4	1	241
11	4	1	227
12	4	1	201
13	4	1	178
14	4	1	148
15	4	1	115
16	4	1	185
17	4	1	161
18	4	1	161
19	4	1	186
20	4	1	187
21	4	1	170
22	4	1	145
23	4	1	117
24	4	1	96
25	4	1	44
26	4	1	33
27	4	1	19
28	4	1	22
29	4	1	30
30	4	1	36
31	4	1	16
32	4	1	17
33	4	1	44
34	4	1	67
35	4	1	94
36	4	1	129
37	4	1	164
38	4	1	190
39	4	1	206
40	4	1	179
41	4	1	181
42	4	1	156
43	4	1	108
44	4	1	62
45	4	1	8
46	4	1	31
47	4	1	98
48	4	1	148
49	4	1	162
50	4	1	175
51	4	1	111
52	4	1	17
53	4	1	61
54	4	1	154
55	4	1	214
56	4	1	209
57	4	1	205
58	4	1	188
59	4	1	156
60	4	1	104
61	4	1	79
62	4	1	56
63	4	1	35
64	4	1	27
1	5	1	74
2	5	1	16
3	5	1	17
4	5	1	30
5	5	1	78
6	5	1	135
7	5	1	183
8	5	1	201
9	5	1	217
10	5	1	230
11	5	1	225
12	5	1	208
13	5	1	173
14	5	1	155
15	5	1	124
16	5	1	179
17	5	1	167
